tags,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,title,owner.account_id,owner.reputation,owner.user_id,owner.accept_rate,owner.display_name,accepted_answer_id,closed_date,closed_reason,bounty_amount,bounty_closes_date,migrated_from.other_site.aliases,migrated_from.other_site.styling.tag_background_color,migrated_from.other_site.styling.tag_foreground_color,migrated_from.other_site.styling.link_color,migrated_from.other_site.related_sites,migrated_from.other_site.markdown_extensions,migrated_from.other_site.launch_date,migrated_from.other_site.open_beta_date,migrated_from.other_site.closed_beta_date,migrated_from.other_site.site_state,migrated_from.other_site.high_resolution_icon_url,migrated_from.other_site.favicon_url,migrated_from.other_site.icon_url,migrated_from.other_site.audience,migrated_from.other_site.site_url,migrated_from.other_site.api_site_parameter,migrated_from.other_site.logo_url,migrated_from.other_site.name,migrated_from.other_site.site_type,migrated_from.on_date,migrated_from.question_id,locked_date,language
"['c++', 'set', 'c++20', 'spaceship-operator', 'partial-ordering']",True,40,1,2,2023-06-02 14:28:49,2023-06-02 14:16:55,2023-06-02 14:20:04,76390971,https://stackoverflow.com/questions/76390971/does-stdset-work-correctly-with-a-type-that-compares-as-stdpartial-ordering,Does std::set work correctly with a type that compares as std::partial_ordering?,1608561.0,3650.0,1488118.0,85.0,bweber,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'xcode', 'geant4']",False,32,0,-2,2023-06-02 14:03:27,2023-06-02 14:01:23,2023-06-02 14:03:27,76390834,https://stackoverflow.com/questions/76390834/having-trouble-with-xcode-nullptr-t-error,Having trouble with XCode: nullptr_t error,18041369.0,39.0,13113393.0,,Semi-okay Coder,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'eclipse', 'opencv', 'include']",False,17,0,0,2023-06-02 13:44:08,2023-06-02 13:38:46,2023-06-02 13:44:08,76390674,https://stackoverflow.com/questions/76390674/including-opencv-in-c-project-on-eclipse-does-not-work,Including OpenCV in C++ project on Eclipse does not work,18581986.0,11.0,13541315.0,,ard3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'binary-search']",False,31,0,-3,2023-06-02 13:36:34,2023-06-02 13:36:34,,76390664,https://stackoverflow.com/questions/76390664/test-case-fail-in-allocate-minimum-number-of-pages-problem,Test Case fail in Allocate minimum number of pages problem,25937573.0,1.0,19657567.0,,dronzer_28,,2023-06-02 14:02:17,Needs details or clarity,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'gtkmm']",True,33,1,0,2023-06-02 16:08:37,2023-06-02 13:03:25,2023-06-02 15:04:18,76390407,https://stackoverflow.com/questions/76390407/how-can-i-programmatically-add-a-tab-to-a-gtkmm-notebook-in-c,How can I programmatically add a tab to a GTKmm notebook in C++?,14197060.0,40.0,10256060.0,,M.R.,76391800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'visual-studio', 'clang', 'compiler-optimization', 'code-hinting']",True,26,1,3,2023-06-02 13:48:59,2023-06-02 12:48:55,2023-06-02 13:48:59,76390300,https://stackoverflow.com/questions/76390300/give-the-clang-compiler-a-loop-length-assertion,Give the CLANG compiler a loop length assertion,173110.0,17587.0,401584.0,90.0,IamIC,76390453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
['c++'],False,26,0,0,2023-06-02 12:48:40,2023-06-02 12:48:40,,76390297,https://stackoverflow.com/questions/76390297/how-to-efficiently-implement-the-assign-member-function-of-interval-mapk-v-in,"How to efficiently implement the assign member function of interval_map&lt;K,V&gt; in C++?",25643609.0,1.0,19412036.0,,Arnav Kamat,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'implicit-conversion', 'enum-class']",True,67,2,-1,2023-06-02 16:35:38,2023-06-02 12:15:56,2023-06-02 16:35:38,76390065,https://stackoverflow.com/questions/76390065/how-can-i-implicitly-convert-an-enum-to-its-subset-and-vice-versa-in-c,How can I implicitly convert an enum to its subset and vice versa in C++?,28736072.0,1.0,22007109.0,,ke_bitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'exception']",True,93,3,-11,2023-06-02 12:41:40,2023-06-02 11:59:05,2023-06-02 12:16:41,76389951,https://stackoverflow.com/questions/76389951/why-is-this-c-code-not-falling-into-an-infinite-loop-and-terminating-with-no-o,Why is this C++ code not falling into an infinite loop and terminating with no output?,25244069.0,1.0,19077549.0,,13_Deepjyoti Das_CSE,,2023-06-02 14:42:33,Not suitable for this site,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'omnet++', 'inet']",False,12,0,0,2023-06-02 11:53:42,2023-06-02 11:53:42,,76389914,https://stackoverflow.com/questions/76389914/problems-with-udpechoapp-and-real-world-network-emulation,Problems with UdpEchoApp and real world network emulation,28711471.0,11.0,21986903.0,,frog,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'gcc', 'installation', 'g++', 'mingw']",False,13,0,0,2023-06-02 11:51:43,2023-06-02 11:51:43,,76389901,https://stackoverflow.com/questions/76389901/how-do-i-install-mingw-g-9-2,How do i install MinGW G++ 9.2,27320938.0,13.0,20834650.0,,Omar loves cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'qt5', 'font-awesome']",False,16,0,0,2023-06-02 11:44:57,2023-06-02 11:44:57,,76389856,https://stackoverflow.com/questions/76389856/create-stacked-icon-using-font-awesome-in-qt,Create stacked icon using font awesome in Qt,11433335.0,1.0,8381449.0,,Lalit Meena,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'string', 'conditional-statements', 'infinite-loop', 'erase-remove-idiom']",False,46,1,-2,2023-06-02 12:28:52,2023-06-02 11:36:23,,76389800,https://stackoverflow.com/questions/76389800/why-is-my-c-string-erase-remove-idiom-implementation-causing-an-infinite-loop,Why is my C++ string erase-remove-idiom implementation causing an infinite loop with conditional statements?,17320997.0,9.0,12546498.0,,Pradeep Bansiwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'qt', 'qt5']",False,16,0,0,2023-06-02 11:26:03,2023-06-02 11:26:03,,76389737,https://stackoverflow.com/questions/76389737/how-can-i-embed-a-qslider-in-my-qml-application-instead-of-it-popping-up-as-a-se,How can I embed a QSlider in my QML application instead of it popping up as a separate window?,28022367.0,1.0,21402949.0,,Praveenkumar Thulasiraman,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'c', 'linux', 'shared-libraries', 'static-libraries']",False,45,1,2,2023-06-02 12:16:51,2023-06-02 10:50:51,,76389490,https://stackoverflow.com/questions/76389490/how-does-a-single-process-handle-multiple-shared-libraries-linked-to-the-same-li,How does a single process handle multiple shared libraries linked to the same library?,7145240.0,31.0,5461197.0,,Udaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'g++', 'clang++', 'clang-tidy']",False,82,1,0,2023-06-02 17:05:39,2023-06-02 10:41:01,2023-06-02 12:24:42,76389426,https://stackoverflow.com/questions/76389426/is-there-a-way-to-warn-c-developers-when-they-accidentally-include-internal-im,Is there a way to warn C++ developers when they accidentally include internal implementation headers of std library?,1577895.0,22919.0,1463922.0,100.0,PiotrNycz,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'templates']",True,35,1,0,2023-06-02 10:18:35,2023-06-02 09:42:34,2023-06-02 10:07:58,76389017,https://stackoverflow.com/questions/76389017/automatic-template-argument-deduction-fails-for-return-type,Automatic template argument deduction fails for return type,20029213.0,71.0,14682387.0,,Limone,76389067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'windows', 'visual-studio-2022']",False,20,0,1,2023-06-02 09:40:01,2023-06-02 09:39:21,2023-06-02 09:40:01,76388992,https://stackoverflow.com/questions/76388992/error-lnk2001-unresolved-external-symbol-with-stdto-wstring-in-visual-studi,Error LNK2001: Unresolved External Symbol with std::to_wstring() in Visual Studio 2022,28734916.0,11.0,22006125.0,,Robinhwd,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'boost', 'ode', 'odeint']",False,18,0,1,2023-06-02 09:42:23,2023-06-02 09:38:00,2023-06-02 09:42:23,76388985,https://stackoverflow.com/questions/76388985/stopping-condition-dilemma-ode-integration-with-c-and-boost-library,Stopping Condition Dilemma: ODE Integration with C++ and Boost Library,27968981.0,11.0,21517439.0,,Gogoman96 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'visual-c++', 'hyperlink', 'overloading', 'header-files']",False,18,0,-4,2023-06-02 09:39:40,2023-06-02 09:29:34,2023-06-02 09:39:40,76388898,https://stackoverflow.com/questions/76388898/why-am-i-getting-a-link-2001-error-on-all-6-of-my-overloaded-read-and-write-func,Why am I getting a LINK 2001 error on all 6 of my overloaded Read and Write functions in C++?,28354549.0,1.0,21685499.0,,Christian McCulley,,2023-06-02 09:53:03,Not suitable for this site,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'c++11', 'qlabel', 'qt4.8']",False,16,0,0,2023-06-02 09:29:11,2023-06-02 09:28:49,2023-06-02 09:29:11,76388892,https://stackoverflow.com/questions/76388892/graphics-glitch-in-qlabel-showing-clipped-character,Graphics glitch in QLabel (showing clipped character),19587032.0,312.0,14334938.0,,Martin Denion,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'linux', 'embedded', 'armv7', 'microblaze']",False,21,0,0,2023-06-02 14:52:40,2023-06-02 09:21:54,2023-06-02 14:52:40,76388826,https://stackoverflow.com/questions/76388826/serial-com-freeze-ctrl-c-release-it-no-idea-where-to-begin-debug-embedded-lin,Serial COM freeze. CTRL C release it. No idea where to begin debug. Embedded Linux Applications,13282579.0,66.0,9589666.0,,Almog Stern,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'operator-overloading', 'new-operator']",True,38,1,0,2023-06-02 09:28:33,2023-06-02 09:19:12,,76388802,https://stackoverflow.com/questions/76388802/does-overloading-the-new-operator-in-c-redefine-the-operator,Does overloading the new operator in C++ redefine the operator?,22978976.0,23.0,17106213.0,,Aman Sharma,76388888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['python', 'c++', 'pybind11']",False,20,1,0,2023-06-02 14:23:02,2023-06-02 09:18:49,2023-06-02 11:54:56,76388796,https://stackoverflow.com/questions/76388796/why-pybind11-can-not-recognize-pyobject-as-a-python-object-and-how-to-fix-it,Why pybind11 can not recognize PyObject* as a Python object and how to fix it?,18077378.0,328.0,15136810.0,,Vad Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,python
"['c++', 'tensorflow', 'memory', 'arduino', 'artificial-intelligence']",False,26,1,0,2023-06-02 10:32:51,2023-06-02 09:11:10,,76388727,https://stackoverflow.com/questions/76388727/cannot-move-location-counter-backwards-error-on-arduino,&#39;cannot move location counter backwards&#39; error on arduino,23013297.0,15.0,17135507.0,,hakkyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'iostream', 'boost-interprocess']",False,23,0,0,2023-06-02 08:54:07,2023-06-02 08:54:07,,76388616,https://stackoverflow.com/questions/76388616/non-virtual-methods-of-basic-istream-after-upcasting-to-base-reference,Non virtual methods of basic_istream after upcasting to base reference,5292408.0,5086.0,4224575.0,82.0,Lorah Attkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'language-lawyer']",False,88,0,3,2023-06-02 08:32:16,2023-06-02 08:30:18,2023-06-02 08:32:16,76388464,https://stackoverflow.com/questions/76388464/whats-the-order-of-destruction-of-function-parameters-and-return-values,What&#39;s the order of destruction of function parameters and return values?,20707197.0,146.0,15204768.0,,Timothy,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'glibc', 'c++-standard-library', 'math.h']",False,110,0,2,2023-06-02 08:18:32,2023-06-02 06:56:52,2023-06-02 08:18:32,76387817,https://stackoverflow.com/questions/76387817/fmin-and-fmax-are-much-slower-than-simple-conditional-operator,fmin and fmax are much slower than simple conditional operator,28556860.0,81.0,21860952.0,,danry,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'cmake', 'linker', 'mingw-w64', 'restbed']",False,23,0,-1,2023-06-02 07:32:49,2023-06-02 06:45:15,2023-06-02 07:32:49,76387748,https://stackoverflow.com/questions/76387748/undefined-reference-errors-when-linking-restbed-program-under-mingw64,Undefined reference errors when linking restbed program under MINGW64?,8239345.0,4042.0,6197439.0,42.0,sdbbs,,2023-06-02 09:15:24,Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'asynchronous', 'boost-asio']",True,35,1,2,2023-06-02 10:52:13,2023-06-02 06:39:44,2023-06-02 09:31:43,76387708,https://stackoverflow.com/questions/76387708/reading-file-contents-in-non-blocking-async-way-using-boostasio-in-cpp,reading file contents in non-blocking async way using boost::asio in cpp,475736.0,79.0,1701972.0,,Rohit Pai,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'arrays', 'function', 'boolean', 'compare']",False,34,0,0,2023-06-02 06:34:21,2023-06-02 06:34:21,,76387676,https://stackoverflow.com/questions/76387676/searching-a-c-array-of-student-records-by-gpa-using-a-user-defined-function-h,Searching a C++ array of student records by GPA using a user-defined function: how do I implement it?,28661749.0,9.0,21946544.0,,Mandisa Mashinini,,2023-06-02 07:52:27,Needs more focus,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'vcpkg', 'libssh']",True,31,1,1,2023-06-02 06:46:13,2023-06-02 06:21:21,2023-06-02 06:46:13,76387605,https://stackoverflow.com/questions/76387605/compiling-c-code-using-libssh-library-through-vcpkg,Compiling C++ code using libssh library through vcpkg,7285824.0,31.0,5553926.0,,Madhusudhana,76387686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'arrays', 'pointers', 'casting', 'void-pointers']",True,128,2,1,2023-06-02 11:08:52,2023-06-02 06:16:55,2023-06-02 11:08:52,76387588,https://stackoverflow.com/questions/76387588/casting-a-void-pointer-to-a-2d-string-array-pointer-c-cpp,Casting a void pointer to a 2D String array pointer (C/CPP),7166096.0,369.0,5475157.0,75.0,ManWithNoName,,2023-06-02 07:35:43,Not suitable for this site,,,,,,,,,,,,,,,,,,,,,,,,,c++
['c++'],False,34,0,-3,2023-06-02 06:20:42,2023-06-02 06:03:25,2023-06-02 06:20:42,76387511,https://stackoverflow.com/questions/76387511/why-am-i-getting-garbage-outputs-when-using-long-long-instead-of-int-in-my-dfs-f,Why am I getting garbage outputs when using long long instead of int in my DFS function for a graph?,21130725.0,1.0,15535132.0,,Rifatun Nesa,,2023-06-02 06:20:22,Needs details or clarity,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'installation', 'cmake', 'realm', 'ubuntu-20.04']",False,28,0,0,2023-06-02 04:32:47,2023-06-02 04:32:47,,76387123,https://stackoverflow.com/questions/76387123/failed-to-install-realm-c-sdk,Failed to install Realm C++ SDK,17711606.0,1.0,12859025.0,,znyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'cmake', 'wxwidgets']",False,30,1,1,2023-06-02 14:16:20,2023-06-02 04:23:43,2023-06-02 04:49:40,76387099,https://stackoverflow.com/questions/76387099/wxwidgets-wx-wx-h-not-found,wxwidgets wx/wx.h not found,9204260.0,39.0,19901558.0,,Dushyant Patil,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'timer', 'arduino', 'esp32', 'arduino-c++']",False,48,0,-1,2023-06-02 07:20:53,2023-06-02 03:42:17,2023-06-02 07:20:53,76386989,https://stackoverflow.com/questions/76386989/my-void-loop-cannot-carry-out-both-while-loops-in-it-countdown-timer-unable-t,My void Loop() cannot carry out both while loops in it. Countdown timer unable to switch timers from one session to another in &quot;TickTwo.h&quot; library,28732563.0,11.0,22004203.0,,Ammar Yasir,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'function', 'class', 'c++14']",False,91,0,-8,2023-06-02 03:28:49,2023-06-02 03:28:49,,76386953,https://stackoverflow.com/questions/76386953/why-in-switch-cases-case-1-is-getting-ignored,"Why in switch cases, case 1 is getting ignored?",27437588.0,1.0,20933120.0,,Vladyslav Kovalov,,2023-06-02 05:05:37,Needs more focus,,,,,,,,,,,,,,,,,,,,,,,,,c++
['c++'],False,28,0,-1,2023-06-02 05:01:54,2023-06-02 02:57:02,2023-06-02 05:01:54,76386865,https://stackoverflow.com/questions/76386865/increment-operator-behavior-when-passed-as-function-parameters-in-c,Increment Operator Behavior When Passed as Function Parameters in C++,18127511.0,11.0,13182915.0,,Rashmika Gamage,,2023-06-02 02:59:22,Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'header-files']",False,38,0,0,2023-06-02 02:54:32,2023-06-02 02:51:25,2023-06-02 02:54:32,76386847,https://stackoverflow.com/questions/76386847/using-header-files-for-using-multiple-user-defined-functions-in-a-wrapper,Using header files for using multiple user defined functions in a wrapper,9204260.0,39.0,19901558.0,,Dushyant Patil,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'graphics', 'game-engine']",False,21,0,0,2023-06-02 02:37:40,2023-06-02 02:37:40,,76386806,https://stackoverflow.com/questions/76386806/debugging-chunked-world-tile-misalignment,Debugging chunked world tile misalignment,8372256.0,100.0,6286980.0,,Milan Dierick,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'asynchronous', 'grpc']",False,13,0,0,2023-06-02 05:14:50,2023-06-02 02:18:12,2023-06-02 05:14:50,76386751,https://stackoverflow.com/questions/76386751/grpc-c-v1-38-async-server-crashes,gRPC c++ v1.38 async-server crashes,5873603.0,81.0,4625189.0,0.0,GoodToLearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'security', 'passwords', 'logic', 'project']",False,28,0,0,2023-06-02 01:42:13,2023-06-02 01:42:13,,76386655,https://stackoverflow.com/questions/76386655/problem-with-login-logic-in-c-password-manager,Problem with LogIn logic in C++ password manager,21970129.0,11.0,16246763.0,,Maja,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'variables', 'module']",False,52,0,1,2023-06-02 02:12:38,2023-06-02 01:08:59,2023-06-02 02:12:38,76386575,https://stackoverflow.com/questions/76386575/do-i-need-to-pass-a-variable-from-the-main-module-to-another-module-to-get-a-r,Do I need to pass a variable from the main() module to another module to get a return value?,28732205.0,11.0,22003934.0,,Mr. Puli,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'oop', 'inheritance', 'constructor', 'vulkan']",False,28,0,0,2023-06-02 01:33:37,2023-06-02 01:03:02,2023-06-02 01:33:37,76386563,https://stackoverflow.com/questions/76386563/how-can-i-fix-an-argument-list-error-while-calling-an-objects-constructor-with-t,How can I fix an argument list error while calling an objects constructor with the exact arguments specified?,27254427.0,23.0,20778291.0,,ModernEraCaveman,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'unique-ptr', 'c++23', 'function-call-operator']",True,58,1,4,2023-06-02 01:24:58,2023-06-02 00:56:42,,76386548,https://stackoverflow.com/questions/76386548/passing-a-static-operator-as-deleter-type,Passing a static operator() as deleter type,18406052.0,3152.0,13407802.0,,digito_evo,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'sdl', 'sprite', 'sdl-2']",False,29,0,1,2023-06-02 00:51:19,2023-06-02 00:51:19,,76386541,https://stackoverflow.com/questions/76386541/how-to-change-sprite-size-in-sdl2,How to change sprite size in SDL2,28732242.0,11.0,22003965.0,,EnderCal1012,,2023-06-02 07:42:20,Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'singleton', 'mutex', 'freertos', 'esp-idf']",False,27,0,0,2023-06-02 00:16:11,2023-06-02 00:16:11,,76386454,https://stackoverflow.com/questions/76386454/thread-safe-singleton-class-with-c-and-freertos,Thread-safe Singleton class with C++ and FreeRTOS,28671134.0,21.0,21954171.0,,georgev93,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'algorithm', 'graph', 'tree', 'c++17']",True,42,1,2,2023-06-02 00:12:12,2023-06-01 23:42:04,2023-06-02 00:12:12,76386349,https://stackoverflow.com/questions/76386349/how-i-convert-array-to-adjacency-list-of-tree,How i convert array to adjacency list of tree?,28713607.0,37.0,22003784.0,,Isa,76386370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'qt', 'qwidget', 'qt6', 'qtabwidget']",False,24,0,0,2023-06-02 12:08:57,2023-06-01 23:21:12,2023-06-02 12:08:57,76386283,https://stackoverflow.com/questions/76386283/how-to-display-tab-widget-corner-widget-on-the-left-right-side,How to display tab widget corner widget on the left/right side?,23703606.0,1182.0,17726418.0,,Mihoub Abderrahmene Rayene,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
